dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
videofeedback,ModelScope,300,300,0.817161111111111,0.8178486357613238,0.800964878567026,0.02,0.13666666666666666,0.6066666666666667,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,Pika,300,300,0.881,0.9034262381895086,0.8494768734032119,0.02666666666666667,0.13,0.36666666666666664,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,SoRA-Clip,300,300,0.7807722222222222,0.7811998826072837,0.7763234382683161,0.05,0.13,0.7,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,Text2Video-Zero,300,300,0.7205611111111112,0.7379475871691603,0.6857810779582487,0.016666666666666666,0.043333333333333335,0.73,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,VideoCrafter2,300,300,0.908761111111111,0.9195322984275069,0.8895035100333675,0.04,0.18,0.2833333333333333,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,ZeroScope-576w,300,300,0.8004444444444444,0.8210090726148965,0.749560965258443,0.01,0.05333333333333334,0.6266666666666667,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
comgenvid,Sora,898,898,0.9043432324244424,0.9084042534577539,0.9029621621238269,0.06347438752783964,0.2906458797327394,0.39532293986636974,full,目标均值／目标完整白化,fc3
comgenvid,VEO3,898,898,0.9291533772153908,0.934798752746819,0.9248188277212246,0.07906458797327394,0.32405345211581293,0.3151447661469933,full,目标均值／目标完整白化,fc3
genvideo,Crafter,188,188,0.8904481665912177,0.8729081485214433,0.9019801245024064,0.19680851063829788,0.3776595744680851,0.4787234042553192,full,目标均值／目标完整白化,fc3
genvideo,Gen2,1380,1380,0.9512744171392564,0.9583971899921848,0.9405649937685088,0.02681159420289855,0.32681159420289857,0.18768115942028984,full,目标均值／目标完整白化,fc3
genvideo,Lavie,1400,1400,0.8849867346938776,0.8787121108990152,0.8818897289173506,0.02214285714285714,0.2592857142857143,0.4607142857142857,full,目标均值／目标完整白化,fc3
genvideo,ModelScope,700,700,0.882980612244898,0.8799018030679797,0.8832271703257,0.09714285714285714,0.22857142857142856,0.5028571428571429,full,目标均值／目标完整白化,fc3
genvideo,MorphStudio,700,700,0.881308163265306,0.8768780922094239,0.8820222571450623,0.08142857142857143,0.23285714285714285,0.49857142857142855,full,目标均值／目标完整白化,fc3
genvideo,Show_1,700,700,0.8747102040816326,0.8511396067579132,0.882360744672692,0.09428571428571429,0.25142857142857145,0.6014285714285714,full,目标均值／目标完整白化,fc3
genvideo,Sora,56,56,0.9496173469387755,0.953894213195792,0.9527311715638466,0.5892857142857143,0.5892857142857143,0.23214285714285715,full,目标均值／目标完整白化,fc3
genvideo,WildScrape,515,515,0.7986351211235744,0.7162504602171778,0.8321170747694051,0.06990291262135923,0.20970873786407768,0.883495145631068,full,目标均值／目标完整白化,fc3
videofeedback,AnimateDiff,300,300,0.8436111111111112,0.8665437245358778,0.795606046658265,0.016666666666666666,0.05,0.56,full,目标均值／目标完整白化,fc3
videofeedback,Fast-SVD,300,300,0.9129666666666668,0.9290943568952829,0.8876161386849623,0.03666666666666667,0.16,0.2866666666666667,full,目标均值／目标完整白化,fc3
videofeedback,LVDM,300,300,0.89395,0.9064032831168407,0.8630301739766203,0.013333333333333334,0.11,0.33666666666666667,full,目标均值／目标完整白化,fc3
videofeedback,LaVie-base,300,300,0.8247666666666668,0.8392570978112451,0.7984244670381514,0.013333333333333334,0.09333333333333334,0.56,full,目标均值／目标完整白化,fc3
videofeedback,ModelScope,300,300,0.8171666666666667,0.8178461067385826,0.8009674222111697,0.02,0.13666666666666666,0.6066666666666667,full,目标均值／目标完整白化,fc3
videofeedback,Pika,300,300,0.8810111111111111,0.9034349242750779,0.8494862515608497,0.02666666666666667,0.13,0.36666666666666664,full,目标均值／目标完整白化,fc3
videofeedback,SoRA-Clip,300,300,0.78075,0.7811870277573685,0.7762487906250561,0.05,0.13,0.7,full,目标均值／目标完整白化,fc3
videofeedback,Text2Video-Zero,300,300,0.7205388888888888,0.7379105257310989,0.6858792917714005,0.016666666666666666,0.04666666666666667,0.73,full,目标均值／目标完整白化,fc3
videofeedback,VideoCrafter2,300,300,0.9087277777777778,0.9195184882825795,0.8894745312192605,0.04,0.18,0.2833333333333333,full,目标均值／目标完整白化,fc3
videofeedback,ZeroScope-576w,300,300,0.8004222222222223,0.8210064284978574,0.7495363742135498,0.01,0.05333333333333334,0.6266666666666667,full,目标均值／目标完整白化,fc3
comgenvid,Sora,898,898,0.9058437210132887,0.9094993846084919,0.9063260223207437,0.08685968819599109,0.31737193763919824,0.39198218262806234,local_d2_target_diagonal,目标对角白化,fc3
comgenvid,VEO3,898,898,0.9518541574694569,0.9562835616170272,0.9493837968095405,0.14810690423162584,0.43875278396436523,0.2071269487750557,local_d2_target_diagonal,目标对角白化,fc3
