dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
videofeedback,ZeroScope-576w,300,300,0.7639111111111111,0.7699244712375545,0.7213989929186522,0.0033333333333333335,0.04666666666666667,0.7366666666666667,local_d1_target,Local归一化D1,fc3
comgenvid,Sora,898,898,0.9043432324244424,0.9084042534577539,0.9029621621238269,0.06347438752783964,0.2906458797327394,0.39532293986636974,full,Local归一化D2,fc3
comgenvid,VEO3,898,898,0.9291533772153908,0.934798752746819,0.9248188277212246,0.07906458797327394,0.32405345211581293,0.3151447661469933,full,Local归一化D2,fc3
genvideo,Crafter,188,188,0.8904481665912177,0.8729081485214433,0.9019801245024064,0.19680851063829788,0.3776595744680851,0.4787234042553192,full,Local归一化D2,fc3
genvideo,Gen2,1380,1380,0.9512744171392564,0.9583971899921848,0.9405649937685088,0.02681159420289855,0.32681159420289857,0.18768115942028984,full,Local归一化D2,fc3
genvideo,Lavie,1400,1400,0.8849867346938776,0.8787121108990152,0.8818897289173506,0.02214285714285714,0.2592857142857143,0.4607142857142857,full,Local归一化D2,fc3
genvideo,ModelScope,700,700,0.882980612244898,0.8799018030679797,0.8832271703257,0.09714285714285714,0.22857142857142856,0.5028571428571429,full,Local归一化D2,fc3
genvideo,MorphStudio,700,700,0.881308163265306,0.8768780922094239,0.8820222571450623,0.08142857142857143,0.23285714285714285,0.49857142857142855,full,Local归一化D2,fc3
genvideo,Show_1,700,700,0.8747102040816326,0.8511396067579132,0.882360744672692,0.09428571428571429,0.25142857142857145,0.6014285714285714,full,Local归一化D2,fc3
genvideo,Sora,56,56,0.9496173469387755,0.953894213195792,0.9527311715638466,0.5892857142857143,0.5892857142857143,0.23214285714285715,full,Local归一化D2,fc3
genvideo,WildScrape,515,515,0.7986351211235744,0.7162504602171778,0.8321170747694051,0.06990291262135923,0.20970873786407768,0.883495145631068,full,Local归一化D2,fc3
videofeedback,AnimateDiff,300,300,0.8436111111111112,0.8665437245358778,0.795606046658265,0.016666666666666666,0.05,0.56,full,Local归一化D2,fc3
videofeedback,Fast-SVD,300,300,0.9129666666666668,0.9290943568952829,0.8876161386849623,0.03666666666666667,0.16,0.2866666666666667,full,Local归一化D2,fc3
videofeedback,LVDM,300,300,0.89395,0.9064032831168407,0.8630301739766203,0.013333333333333334,0.11,0.33666666666666667,full,Local归一化D2,fc3
videofeedback,LaVie-base,300,300,0.8247666666666668,0.8392570978112451,0.7984244670381514,0.013333333333333334,0.09333333333333334,0.56,full,Local归一化D2,fc3
videofeedback,ModelScope,300,300,0.8171666666666667,0.8178461067385826,0.8009674222111697,0.02,0.13666666666666666,0.6066666666666667,full,Local归一化D2,fc3
videofeedback,Pika,300,300,0.8810111111111111,0.9034349242750779,0.8494862515608497,0.02666666666666667,0.13,0.36666666666666664,full,Local归一化D2,fc3
videofeedback,SoRA-Clip,300,300,0.78075,0.7811870277573685,0.7762487906250561,0.05,0.13,0.7,full,Local归一化D2,fc3
videofeedback,Text2Video-Zero,300,300,0.7205388888888888,0.7379105257310989,0.6858792917714005,0.016666666666666666,0.04666666666666667,0.73,full,Local归一化D2,fc3
videofeedback,VideoCrafter2,300,300,0.9087277777777778,0.9195184882825795,0.8894745312192605,0.04,0.18,0.2833333333333333,full,Local归一化D2,fc3
videofeedback,ZeroScope-576w,300,300,0.8004222222222223,0.8210064284978574,0.7495363742135498,0.01,0.05333333333333334,0.6266666666666667,full,Local归一化D2,fc3
comgenvid,Sora,898,898,0.681614922545027,0.7525297763565044,0.6141083114056898,0.0022271714922048997,0.0200445434298441,0.6280623608017817,local_raw_d2_target,Local未归一化D2,fc3
comgenvid,VEO3,898,898,0.594625026661574,0.6930807227883848,0.5120098489720144,0.0,0.0011135857461024498,0.7082405345211581,local_raw_d2_target,Local未归一化D2,fc3
genvideo,Crafter,188,188,0.5748641919420552,0.6679568655639715,0.5215384377220733,0.005319148936170213,0.010638297872340425,0.75,local_raw_d2_target,Local未归一化D2,fc3
genvideo,Gen2,1380,1380,0.4812951585801302,0.6187632773976979,0.44168913256486275,0.0,0.0,0.7724637681159421,local_raw_d2_target,Local未归一化D2,fc3
genvideo,Lavie,1400,1400,0.6334377551020408,0.7049196042918966,0.5651477614250165,0.004285714285714286,0.015,0.7114285714285714,local_raw_d2_target,Local未归一化D2,fc3
genvideo,ModelScope,700,700,0.6315795918367346,0.6593876748132901,0.5864320361962112,0.004285714285714286,0.012857142857142857,0.8057142857142857,local_raw_d2_target,Local未归一化D2,fc3
genvideo,MorphStudio,700,700,0.6556489795918367,0.7008113533776642,0.6231753486566396,0.011428571428571429,0.04,0.7357142857142858,local_raw_d2_target,Local未归一化D2,fc3
genvideo,Show_1,700,700,0.5564367346938776,0.6129524848607355,0.5063529906428839,0.002857142857142857,0.011428571428571429,0.8314285714285714,local_raw_d2_target,Local未归一化D2,fc3
genvideo,Sora,56,56,0.7005739795918368,0.7377618800942786,0.6820593814763394,0.03571428571428571,0.03571428571428571,0.7142857142857143,local_raw_d2_target,Local未归一化D2,fc3
genvideo,WildScrape,515,515,0.5516146667923462,0.5441360613629661,0.5354382095670185,0.0,0.013592233009708738,0.9436893203883495,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,AnimateDiff,300,300,0.5449222222222222,0.6430784097809046,0.5291505965361766,0.006666666666666667,0.04,0.7433333333333333,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,Fast-SVD,300,300,0.5484555555555556,0.6906094410185363,0.47366875340692033,0.0,0.0033333333333333335,0.6233333333333333,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,LVDM,300,300,0.8944277777777778,0.9145217799240768,0.8712979004154988,0.04,0.18666666666666668,0.36333333333333334,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,LaVie-base,300,300,0.6596,0.7212904316608478,0.6175757074827891,0.006666666666666667,0.043333333333333335,0.68,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,ModelScope,300,300,0.7752666666666667,0.8082128352878284,0.7478620064458164,0.013333333333333334,0.11,0.5833333333333334,local_raw_d2_target,Local未归一化D2,fc3
