dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
genvideo,Crafter,188,188,0.859495246717972,0.8363689884354975,0.8720505217382684,0.22872340425531915,0.2553191489361702,0.5638297872340425,full,Uniform K3,uniform3
genvideo,Gen2,1380,1380,0.9439946964923337,0.9510556514011782,0.9342822565349538,0.050724637681159424,0.34130434782608693,0.22391304347826088,full,Uniform K3,uniform3
genvideo,HotShot,700,700,0.8238714285714286,0.8197320745801588,0.8130219374305849,0.0014285714285714286,0.11428571428571428,0.6385714285714286,full,Uniform K3,uniform3
genvideo,Lavie,1400,1400,0.8626908163265306,0.8561080330070338,0.862217774127632,0.039285714285714285,0.2507142857142857,0.51,full,Uniform K3,uniform3
genvideo,ModelScope,700,700,0.8703510204081633,0.8657797348803,0.8719118029943762,0.10857142857142857,0.2342857142857143,0.5471428571428572,full,Uniform K3,uniform3
genvideo,MoonValley,626,626,0.8819856281068501,0.9018258215056967,0.8444646274945821,0.001597444089456869,0.08626198083067092,0.3801916932907348,full,Uniform K3,uniform3
genvideo,MorphStudio,700,700,0.8565122448979592,0.8517336038916514,0.8578925149729499,0.08142857142857143,0.21428571428571427,0.5585714285714286,full,Uniform K3,uniform3
genvideo,Show_1,700,700,0.8567693877551019,0.8287192815143194,0.8663038389367781,0.10714285714285714,0.24857142857142858,0.6357142857142857,full,Uniform K3,uniform3
genvideo,Sora,56,56,0.9231505102040816,0.9331439698943005,0.9236411904274783,0.44642857142857145,0.44642857142857145,0.30357142857142855,full,Uniform K3,uniform3
genvideo,WildScrape,515,515,0.7795230464699783,0.6825795555933589,0.818384139476489,0.07766990291262135,0.19611650485436893,0.9359223300970874,full,Uniform K3,uniform3
videofeedback,AnimateDiff,218,218,0.8215007154279942,0.8415003500784813,0.7755610374541402,0.013761467889908258,0.027522935779816515,0.6100917431192661,full,Uniform K3,uniform3
videofeedback,Fast-SVD,290,290,0.909322235434007,0.9253906121106997,0.8848402926508349,0.07241379310344828,0.08275862068965517,0.30344827586206896,full,Uniform K3,uniform3
videofeedback,Hotshot-XL,500,500,0.779772,0.8020084960004762,0.7341337027107138,0.008,0.03,0.632,full,Uniform K3,uniform3
videofeedback,LVDM,276,276,0.883887313589582,0.8966219034062155,0.8491256408515293,0.010869565217391304,0.025362318840579712,0.40942028985507245,full,Uniform K3,uniform3
videofeedback,LaVie-base,258,258,0.79500931434409,0.81164573953342,0.7625824090633696,0.015503875968992248,0.031007751937984496,0.6201550387596899,full,Uniform K3,uniform3
videofeedback,ModelScope,246,246,0.7943766937669376,0.796652529051133,0.7705235467021402,0.028455284552845527,0.036585365853658534,0.6382113821138211,full,Uniform K3,uniform3
videofeedback,Pika,132,132,0.8819444444444445,0.9007013112147446,0.8639939364053453,0.07575757575757576,0.14393939393939395,0.44696969696969696,full,Uniform K3,uniform3
videofeedback,SoRA-Clip,290,290,0.7698573127229489,0.7666694181808587,0.7679786916826785,0.09310344827586207,0.1,0.7310344827586207,full,Uniform K3,uniform3
videofeedback,Text2Video-Zero,296,296,0.6958888787436085,0.7163399736553464,0.6610608501525601,0.02364864864864865,0.02364864864864865,0.7736486486486487,full,Uniform K3,uniform3
videofeedback,VideoCrafter2,232,232,0.8997473246135553,0.9117807771976182,0.8787669071192542,0.06465517241379311,0.15086206896551724,0.2974137931034483,full,Uniform K3,uniform3
videofeedback,ZeroScope-576w,276,276,0.8021030245746692,0.8224208270534019,0.7565779544746091,0.018115942028985508,0.018115942028985508,0.6304347826086957,full,Uniform K3,uniform3
comgenvid,Sora,898,898,0.9043432324244424,0.9084042534577539,0.9029621621238269,0.06347438752783964,0.2906458797327394,0.39532293986636974,full,Feature-change K3,fc3
comgenvid,VEO3,898,898,0.9291533772153908,0.934798752746819,0.9248188277212246,0.07906458797327394,0.32405345211581293,0.3151447661469933,full,Feature-change K3,fc3
genvideo,Crafter,188,188,0.8904481665912177,0.8729081485214433,0.9019801245024064,0.19680851063829788,0.3776595744680851,0.4787234042553192,full,Feature-change K3,fc3
genvideo,Gen2,1380,1380,0.9512744171392564,0.9583971899921848,0.9405649937685088,0.02681159420289855,0.32681159420289857,0.18768115942028984,full,Feature-change K3,fc3
genvideo,HotShot,700,700,0.8238714285714286,0.8197320745801588,0.8130219374305849,0.0014285714285714286,0.11428571428571428,0.6385714285714286,full,Feature-change K3,fc3
genvideo,Lavie,1400,1400,0.8849867346938776,0.8787121108990152,0.8818897289173506,0.02214285714285714,0.2592857142857143,0.4607142857142857,full,Feature-change K3,fc3
genvideo,ModelScope,700,700,0.882980612244898,0.8799018030679797,0.8832271703257,0.09714285714285714,0.22857142857142856,0.5028571428571429,full,Feature-change K3,fc3
genvideo,MoonValley,626,626,0.8819856281068501,0.9018258215056967,0.8444646274945821,0.001597444089456869,0.08626198083067092,0.3801916932907348,full,Feature-change K3,fc3
genvideo,MorphStudio,700,700,0.881308163265306,0.8768780922094239,0.8820222571450623,0.08142857142857143,0.23285714285714285,0.49857142857142855,full,Feature-change K3,fc3
genvideo,Show_1,700,700,0.8747102040816326,0.8511396067579132,0.882360744672692,0.09428571428571429,0.25142857142857145,0.6014285714285714,full,Feature-change K3,fc3
genvideo,Sora,56,56,0.9496173469387755,0.953894213195792,0.9527311715638466,0.5892857142857143,0.5892857142857143,0.23214285714285715,full,Feature-change K3,fc3
genvideo,WildScrape,515,515,0.7986351211235744,0.7162504602171778,0.8321170747694051,0.06990291262135923,0.20970873786407768,0.883495145631068,full,Feature-change K3,fc3
videofeedback,AnimateDiff,218,218,0.8287391633700867,0.8476922849721796,0.7854606762505562,0.013761467889908258,0.03669724770642202,0.6009174311926605,full,Feature-change K3,fc3
videofeedback,Fast-SVD,290,290,0.9090844233055886,0.9251992931846453,0.8836559445857277,0.06206896551724138,0.08275862068965517,0.30689655172413793,full,Feature-change K3,fc3
videofeedback,Hotshot-XL,500,500,0.779772,0.8020084960004762,0.7341337027107138,0.008,0.03,0.632,full,Feature-change K3,fc3
videofeedback,LVDM,276,276,0.8905495169082127,0.9025565907968083,0.8587995796852566,0.018115942028985508,0.028985507246376812,0.37681159420289856,full,Feature-change K3,fc3
videofeedback,LaVie-base,258,258,0.803610059491617,0.8189265842979092,0.7741003781472425,0.023255813953488372,0.03875968992248062,0.6007751937984496,full,Feature-change K3,fc3
videofeedback,ModelScope,246,246,0.7998297970784585,0.80169554834181,0.7754745278470686,0.024390243902439025,0.036585365853658534,0.6341463414634146,full,Feature-change K3,fc3
videofeedback,Pika,132,132,0.8765495867768595,0.8968261361604816,0.8573177680039775,0.07575757575757576,0.12878787878787878,0.4696969696969697,full,Feature-change K3,fc3
videofeedback,SoRA-Clip,290,290,0.7695719381688467,0.7675688427052826,0.7663372439157147,0.07241379310344828,0.09655172413793103,0.7275862068965517,full,Feature-change K3,fc3
videofeedback,Text2Video-Zero,296,296,0.7081355003652301,0.7249321492630831,0.674185399743687,0.02027027027027027,0.02702702702702703,0.7601351351351351,full,Feature-change K3,fc3
videofeedback,VideoCrafter2,232,232,0.9100029726516052,0.9194541377685765,0.8924540422856625,0.08620689655172414,0.16379310344827586,0.27155172413793105,full,Feature-change K3,fc3
videofeedback,ZeroScope-576w,276,276,0.7956968073934048,0.8183868370195568,0.7469554678215853,0.014492753623188406,0.018115942028985508,0.6304347826086957,full,Feature-change K3,fc3
